 SERIAL NO,  TIME (sec),    LATITUDE,  LONGITUDE, DISTANCE (meter), VELOCITY(m/sec),  ACCELERATION,
1,0,22.75878,88.37127,0,0,0,
2,87,22.7561,88.371792,303.5,3.48,0.04,
3,172,22.74461,88.373903,1296,15.24,0.138,
4,233,22.7426,88.374311,227,3.72,-0.188,
5,294,22.73676,88.375378,659,10.8,0.116,
6,361,22.72977,88.376651,788,11.76,0.014,
7,422,22.72957,88.376678,22,0.36,-0.186,
8,506,22.72797,88.376955,18,0.214,-0.001,
9,590,22.72633,88.377232,185,2.202,0.023,
10,687,22.72269,88.37787,41,0.422,0.018,
,,,,,,,
